queryPath, docId, milliseconds
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 186661
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 157475
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 164147
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 142902
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 135846
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 143473
queries/Bioref-PM/experiment-zero.txt, 1271, 8
queries/Bioref-PM/experiment-zero.txt, 1272, 5
queries/Bioref-PM/experiment-zero.txt, 1273, 5
queries/Bioref-PM/steps.txt, 1271, 130
queries/Bioref-PM/steps.txt, 1272, 149
queries/Bioref-PM/steps.txt, 1273, 136
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 621531
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 610960
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 636180
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 1363291
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 1339085
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 1385249
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 14894
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 16755
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 15741
