queryPath, docId, milliseconds
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 358394
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 344859
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 362409
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 295716
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 285079
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 300912
queries/Bioref-PM/experiment-zero.txt, 1271, 4
queries/Bioref-PM/experiment-zero.txt, 1272, 4
queries/Bioref-PM/experiment-zero.txt, 1273, 4
queries/Bioref-PM/steps.txt, 1271, 223
queries/Bioref-PM/steps.txt, 1272, 219
queries/Bioref-PM/steps.txt, 1273, 234
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 1348849
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 1317557
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 1375887
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 2956049
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 2910439
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 3004703
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 30815
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 29665
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 31310
