queryPath, docId, milliseconds
experiments/10M/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 160978
experiments/10M/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 153787
experiments/10M/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 161657
experiments/10M/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 139209
experiments/10M/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 134306
experiments/10M/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 141354
experiments/10M/queries/Bioref-PM/integrity-constraint.txt, 1271, 2119
experiments/10M/queries/Bioref-PM/integrity-constraint.txt, 1272, 2077
experiments/10M/queries/Bioref-PM/integrity-constraint.txt, 1273, 2067
experiments/10M/queries/Bioref-PM/experiment-zero.txt, 1271, 3
experiments/10M/queries/Bioref-PM/experiment-zero.txt, 1272, 3
experiments/10M/queries/Bioref-PM/experiment-zero.txt, 1273, 4
experiments/10M/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 2100
experiments/10M/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 2061
experiments/10M/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 2086
experiments/10M/queries/Bioref-PM/steps.txt, 1271, 106
experiments/10M/queries/Bioref-PM/steps.txt, 1272, 105
experiments/10M/queries/Bioref-PM/steps.txt, 1273, 112
experiments/10M/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 573537
experiments/10M/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 563300
experiments/10M/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 587869
experiments/10M/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 1262960
experiments/10M/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 1241233
experiments/10M/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 1294191
experiments/10M/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 13836
experiments/10M/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 13502
experiments/10M/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 14074
