queryPath, docId, milliseconds
experiments/10M/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 352080
experiments/10M/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 345434
experiments/10M/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 363416
experiments/10M/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 298633
experiments/10M/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 290493
experiments/10M/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 305668
experiments/10M/queries/Bioref-PM/integrity-constraint.txt, 1271, 3201
experiments/10M/queries/Bioref-PM/integrity-constraint.txt, 1272, 3165
experiments/10M/queries/Bioref-PM/integrity-constraint.txt, 1273, 3244
experiments/10M/queries/Bioref-PM/experiment-zero.txt, 1271, 6
experiments/10M/queries/Bioref-PM/experiment-zero.txt, 1272, 5
experiments/10M/queries/Bioref-PM/experiment-zero.txt, 1273, 4
experiments/10M/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 3222
experiments/10M/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 3200
experiments/10M/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 3201
experiments/10M/queries/Bioref-PM/steps.txt, 1271, 230
experiments/10M/queries/Bioref-PM/steps.txt, 1272, 225
experiments/10M/queries/Bioref-PM/steps.txt, 1273, 235
experiments/10M/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 1363937
experiments/10M/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 1346124
experiments/10M/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 1392493
experiments/10M/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 2967064
experiments/10M/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 2928988
experiments/10M/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 3032833
experiments/10M/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 30667
experiments/10M/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 29729
experiments/10M/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 31385
