queryPath, docId, milliseconds
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 9377
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 8649
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 8986
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 7642
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 7434
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 7831
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1271, 143
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1272, 121
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1273, 131
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1271, 2
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1272, 2
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1273, 2
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 126
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 120
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 125
experiments/atweb/queries/Bioref-PM/steps.txt, 1271, 11
experiments/atweb/queries/Bioref-PM/steps.txt, 1272, 12
experiments/atweb/queries/Bioref-PM/steps.txt, 1273, 11
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 33805
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 33322
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 34672
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 74274
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 73897
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 77051
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 759
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 734
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 787
