queryPath, docId, milliseconds
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 22008
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 21209
experiments/atweb/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 21912
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 19013
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 18309
experiments/atweb/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 19299
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1271, 3
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1272, 1
experiments/atweb/queries/Bioref-PM/integrity-constraint.txt, 1273, 1
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1271, 2
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1272, 1
experiments/atweb/queries/Bioref-PM/experiment-zero.txt, 1273, 1
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 4
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 1
experiments/atweb/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 1
experiments/atweb/queries/Bioref-PM/steps.txt, 1271, 16
experiments/atweb/queries/Bioref-PM/steps.txt, 1272, 16
experiments/atweb/queries/Bioref-PM/steps.txt, 1273, 16
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 85796
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 84473
experiments/atweb/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 87679
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 191540
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 185570
experiments/atweb/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 191494
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 1930
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 1864
experiments/atweb/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 1946
