queryPath, docId, milliseconds
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 9939
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 9095
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 9458
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 7990
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 7745
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 8107
queries/Bioref-PM/experiment-zero.txt, 1271, 3
queries/Bioref-PM/experiment-zero.txt, 1272, 3
queries/Bioref-PM/experiment-zero.txt, 1273, 3
queries/Bioref-PM/steps.txt, 1271, 29
queries/Bioref-PM/steps.txt, 1272, 24
queries/Bioref-PM/steps.txt, 1273, 23
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 36963
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 36205
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 37614
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 81295
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 79984
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 83404
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 826
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 801
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 841
