queryPath, docId, milliseconds
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 16140
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 15293
queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 15932
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 13590
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 13216
queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 13968
queries/Bioref-PM/experiment-zero.txt, 1271, 1
queries/Bioref-PM/experiment-zero.txt, 1272, 1
queries/Bioref-PM/experiment-zero.txt, 1273, 1
queries/Bioref-PM/steps.txt, 1271, 12
queries/Bioref-PM/steps.txt, 1272, 13
queries/Bioref-PM/steps.txt, 1273, 14
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 62547
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 61450
queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 63855
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 137368
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 135228
queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 140151
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 1404
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 1367
queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 1456
