queryPath, docId, milliseconds
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 10049
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 9209
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 9520
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 8483
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 7972
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 8547
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1271, 152
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1272, 125
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1273, 143
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1271, 1
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1272, 1
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1273, 1
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 126
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 138
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 124
experiments/bioref/queries/Bioref-PM/steps.txt, 1271, 7
experiments/bioref/queries/Bioref-PM/steps.txt, 1272, 8
experiments/bioref/queries/Bioref-PM/steps.txt, 1273, 8
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 37332
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 36688
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 37448
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 82164
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 86151
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 84464
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 868
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 1057
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 1330
