queryPath, docId, milliseconds
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1271, 22108
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1272, 19923
experiments/bioref/queries/Bioref-PM-PC-UFM/bioref-pm-pc-ufm.txt, 1273, 21788
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1271, 16988
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1272, 16628
experiments/bioref/queries/Bioref-PM-UFM/bioref-pm-ufm.txt, 1273, 17421
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1271, 177
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1272, 184
experiments/bioref/queries/Bioref-PM/integrity-constraint.txt, 1273, 183
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1271, 1
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1272, 2
experiments/bioref/queries/Bioref-PM/experiment-zero.txt, 1273, 1
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1271, 182
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1272, 187
experiments/bioref/queries/Bioref-PM/integrity-constraint-with-custom-fn.txt, 1273, 182
experiments/bioref/queries/Bioref-PM/steps.txt, 1271, 14
experiments/bioref/queries/Bioref-PM/steps.txt, 1272, 14
experiments/bioref/queries/Bioref-PM/steps.txt, 1273, 15
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1271, 88544
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1272, 83645
experiments/bioref/queries/Bioref-PM-PC-EX-PS/bioref-pm-pc-ex-ps.txt, 1273, 89275
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1271, 182258
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1272, 174744
experiments/bioref/queries/Bioref-PM-PC-UFM-PS/bioref-pm-pc-ufm-ps.txt, 1273, 189349
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1271, 1963
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1272, 1832
experiments/bioref/queries/Bioref-PM-PC-PS/bioref-pm-pc-ps.txt, 1273, 1791
